?supname	?sup	?subname	?sub
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"dorsomedial part of VMH"	<http://purl.obolibrary.org/obo/DMBA_15676>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"central part of VMH"	<http://purl.obolibrary.org/obo/DMBA_15677>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventrolateral part of VMH"	<http://purl.obolibrary.org/obo/DMBA_15678>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"shell of VMH"	<http://purl.obolibrary.org/obo/DMBA_15679>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of THyB-D"	<http://purl.obolibrary.org/obo/DMBA_15680>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"shell part of the anterobasal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15681>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"suboptic nucleus"	<http://purl.obolibrary.org/obo/DMBA_15682>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"tuberal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15683>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate part of THyB"	<http://purl.obolibrary.org/obo/DMBA_15684>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of THyB-I"	<http://purl.obolibrary.org/obo/DMBA_15685>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of THyB-I"	<http://purl.obolibrary.org/obo/DMBA_15686>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of THyB-I"	<http://purl.obolibrary.org/obo/DMBA_15687>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular part of the arcuate nucleus"	<http://purl.obolibrary.org/obo/DMBA_15688>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular domain associated to T-DMH"	<http://purl.obolibrary.org/obo/DMBA_15692>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of THyB-I"	<http://purl.obolibrary.org/obo/DMBA_15693>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"dorsomedial nucleus, terminal part"	<http://purl.obolibrary.org/obo/DMBA_15694>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"core of T-DMH"	<http://purl.obolibrary.org/obo/DMBA_15695>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"shell of T-DMH"	<http://purl.obolibrary.org/obo/DMBA_15696>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate part of the arcuate nucleus"	<http://purl.obolibrary.org/obo/DMBA_15697>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral premammillary nucleus (migrated)"	<http://purl.obolibrary.org/obo/DMBA_15698>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of THyB-I"	<http://purl.obolibrary.org/obo/DMBA_15699>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial part of arcuate nucleus"	<http://purl.obolibrary.org/obo/DMBA_15700>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"medial tuberal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15701>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral part of THyB"	<http://purl.obolibrary.org/obo/DMBA_15702>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of THyB-V"	<http://purl.obolibrary.org/obo/DMBA_15703>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"hypothalamic ventricular organ, terminal part"	<http://purl.obolibrary.org/obo/DMBA_15704>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of THyB-V"	<http://purl.obolibrary.org/obo/DMBA_15705>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of THyB-V"	<http://purl.obolibrary.org/obo/DMBA_15706>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral tuberomammillary nucleus, pervientricular part (histaminergic)"	<http://purl.obolibrary.org/obo/DMBA_15707>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of THyB-V"	<http://purl.obolibrary.org/obo/DMBA_15708>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral tuberomammillary nucleus, intermediate part (histaminergic)"	<http://purl.obolibrary.org/obo/DMBA_15709>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of THyB-V"	<http://purl.obolibrary.org/obo/DMBA_15710>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral tuberomammillary nucleus, superficial part (histaminergic)"	<http://purl.obolibrary.org/obo/DMBA_15711>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"perimammillary part of THyB"	<http://purl.obolibrary.org/obo/DMBA_15712>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of THyB-P"	<http://purl.obolibrary.org/obo/DMBA_15713>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mammillary recess organ"	<http://purl.obolibrary.org/obo/DMBA_15714>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of THyB-P"	<http://purl.obolibrary.org/obo/DMBA_15715>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of THyB-P"	<http://purl.obolibrary.org/obo/DMBA_15716>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular perimammillary area"	<http://purl.obolibrary.org/obo/DMBA_15717>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of THyB-P"	<http://purl.obolibrary.org/obo/DMBA_15718>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"dorsal premammillary nucleus"	<http://purl.obolibrary.org/obo/DMBA_15719>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of THyB-P"	<http://purl.obolibrary.org/obo/DMBA_15720>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"terete nucleus"	<http://purl.obolibrary.org/obo/DMBA_15721>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mammillary part of THyB"	<http://purl.obolibrary.org/obo/DMBA_15722>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mammillary area"	<http://purl.obolibrary.org/obo/DMBA_15723>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of Mam"	<http://purl.obolibrary.org/obo/DMBA_15724>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of Mam"	<http://purl.obolibrary.org/obo/DMBA_15725>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of Mam"	<http://purl.obolibrary.org/obo/DMBA_15726>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"median mammillary nucleus"	<http://purl.obolibrary.org/obo/DMBA_15727>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of Mam"	<http://purl.obolibrary.org/obo/DMBA_15728>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"medial mammillary nucleus"	<http://purl.obolibrary.org/obo/DMBA_15729>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"medial part of MM"	<http://purl.obolibrary.org/obo/DMBA_15730>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral part of MM"	<http://purl.obolibrary.org/obo/DMBA_15731>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"posterior part of MM"	<http://purl.obolibrary.org/obo/DMBA_15732>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of Mam"	<http://purl.obolibrary.org/obo/DMBA_15733>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral mammillary nucleus"	<http://purl.obolibrary.org/obo/DMBA_15734>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral tuberomammillary nucleus, migrated part (histaminergic)"	<http://purl.obolibrary.org/obo/DMBA_15735>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"floor of terminal hypothalamus"	<http://purl.obolibrary.org/obo/DMBA_15736>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mammillary floor"	<http://purl.obolibrary.org/obo/DMBA_15737>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"caudal secondary prosencephalon"	<http://purl.obolibrary.org/obo/DMBA_15738>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"telencephalic vesicle"	<http://purl.obolibrary.org/obo/DMBA_15739>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"roof plate of evaginated telencephalic vesicle"	<http://purl.obolibrary.org/obo/DMBA_15740>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"caudal septocommissural area"	<http://purl.obolibrary.org/obo/DMBA_15741>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of CSCom"	<http://purl.obolibrary.org/obo/DMBA_15742>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"subfornical organ, circumventricular ependymal specialization"	<http://purl.obolibrary.org/obo/DMBA_15743>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of CSCom"	<http://purl.obolibrary.org/obo/DMBA_15744>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of CSCom"	<http://purl.obolibrary.org/obo/DMBA_15745>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"subfornical organ, periventricular part"	<http://purl.obolibrary.org/obo/DMBA_15746>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of CSCom"	<http://purl.obolibrary.org/obo/DMBA_15747>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of CSCom"	<http://purl.obolibrary.org/obo/DMBA_15748>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"telencephalic choroidal formation"	<http://purl.obolibrary.org/obo/DMBA_15749>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"alar plate of evaginated telencephalic vesicle"	<http://purl.obolibrary.org/obo/DMBA_15750>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"subpallial septum"	<http://purl.obolibrary.org/obo/DMBA_15752>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"diagonal part of septum"	<http://purl.obolibrary.org/obo/DMBA_15753>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of DgSe"	<http://purl.obolibrary.org/obo/DMBA_15754>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of DgSe"	<http://purl.obolibrary.org/obo/DMBA_15755>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of DgSe"	<http://purl.obolibrary.org/obo/DMBA_15756>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, ventral part"	<http://purl.obolibrary.org/obo/DMBA_15757>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"median supracommissural nucleus"	<http://purl.obolibrary.org/obo/DMBA_15758>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of DgSe"	<http://purl.obolibrary.org/obo/DMBA_15759>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, intermedio-ventral part"	<http://purl.obolibrary.org/obo/DMBA_15760>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septohypothalamic nucleus"	<http://purl.obolibrary.org/obo/DMBA_15761>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of DgSe"	<http://purl.obolibrary.org/obo/DMBA_15762>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"vertical nucleus of the diagonal band"	<http://purl.obolibrary.org/obo/DMBA_15763>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"medial septal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15764>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"pallidal septum"	<http://purl.obolibrary.org/obo/DMBA_15765>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of PalSe"	<http://purl.obolibrary.org/obo/DMBA_15766>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of PalSe"	<http://purl.obolibrary.org/obo/DMBA_15767>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of PalSe"	<http://purl.obolibrary.org/obo/DMBA_15768>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, intermediate part, periventricular"	<http://purl.obolibrary.org/obo/DMBA_15769>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of PalSe"	<http://purl.obolibrary.org/obo/DMBA_15770>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, intermedio-intermediate part"	<http://purl.obolibrary.org/obo/DMBA_15771>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lambdoid septal zone"	<http://purl.obolibrary.org/obo/DMBA_15772>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of PalSe"	<http://purl.obolibrary.org/obo/DMBA_15773>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"striatal septum"	<http://purl.obolibrary.org/obo/DMBA_15774>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of StrSe"	<http://purl.obolibrary.org/obo/DMBA_15775>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of StrSe"	<http://purl.obolibrary.org/obo/DMBA_15776>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular part of StrSe"	<http://purl.obolibrary.org/obo/DMBA_15777>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, dorsal part"	<http://purl.obolibrary.org/obo/DMBA_15778>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"triangular septal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15779>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate part of StrSe"	<http://purl.obolibrary.org/obo/DMBA_15781>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"lateral septal nucleus, intermedio-dorsal part"	<http://purl.obolibrary.org/obo/DMBA_15782>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial part of StrSe"	<http://purl.obolibrary.org/obo/DMBA_15783>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"paraseptal subpallium"	<http://purl.obolibrary.org/obo/DMBA_15784>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septodiagonal transition area"	<http://purl.obolibrary.org/obo/DMBA_15785>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of SeDg"	<http://purl.obolibrary.org/obo/DMBA_15786>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of SeDg"	<http://purl.obolibrary.org/obo/DMBA_15787>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of SeDg"	<http://purl.obolibrary.org/obo/DMBA_15788>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"bed nucleus of the stria terminalis, medioseptal division"	<http://purl.obolibrary.org/obo/DMBA_15789>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"nucleus of the stria terminalis, medial division, ventral part"	<http://purl.obolibrary.org/obo/DMBA_15790>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"nucleus of the stria terminalis, medial division, anterior part"	<http://purl.obolibrary.org/obo/DMBA_15791>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of SeDg"	<http://purl.obolibrary.org/obo/DMBA_15792>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"substantia innominata/basal nucleus, transitional part"	<http://purl.obolibrary.org/obo/DMBA_15793>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"bed nucleus of the anterior commissure"	<http://purl.obolibrary.org/obo/DMBA_15794>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of SeDg"	<http://purl.obolibrary.org/obo/DMBA_15795>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"horizontal nucleus of the diagonal band, transitional part"	<http://purl.obolibrary.org/obo/DMBA_15796>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septopallidal transition area"	<http://purl.obolibrary.org/obo/DMBA_15797>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of SePal"	<http://purl.obolibrary.org/obo/DMBA_15798>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of SePal"	<http://purl.obolibrary.org/obo/DMBA_15799>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of SePal"	<http://purl.obolibrary.org/obo/DMBA_15800>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"bed nucleus of the stria terminalis, lateroseptal division"	<http://purl.obolibrary.org/obo/DMBA_15801>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"nucleus of the stria terminalis, lateral division, intermediate part"	<http://purl.obolibrary.org/obo/DMBA_15802>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of SePal"	<http://purl.obolibrary.org/obo/DMBA_15803>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septopallidal core nucleus"	<http://purl.obolibrary.org/obo/DMBA_15804>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septopallidal shell area"	<http://purl.obolibrary.org/obo/DMBA_15805>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of SePal"	<http://purl.obolibrary.org/obo/DMBA_15806>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septopallidal part of the olfactory tuberculum"	<http://purl.obolibrary.org/obo/DMBA_15807>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"island of Calleja major"	<http://purl.obolibrary.org/obo/DMBA_15808>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septostriatal transition area (accumbens)"	<http://purl.obolibrary.org/obo/DMBA_15809>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of SeStr"	<http://purl.obolibrary.org/obo/DMBA_15810>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of SeStr"	<http://purl.obolibrary.org/obo/DMBA_15811>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of SeStr"	<http://purl.obolibrary.org/obo/DMBA_15812>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"accumbens nucleus, core domain"	<http://purl.obolibrary.org/obo/DMBA_15813>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of SeStr"	<http://purl.obolibrary.org/obo/DMBA_15814>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"accumbens nucleus, shell domain"	<http://purl.obolibrary.org/obo/DMBA_15815>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of SeStr"	<http://purl.obolibrary.org/obo/DMBA_15816>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"septostriatal part of the olfactory tuberculum"	<http://purl.obolibrary.org/obo/DMBA_15817>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"central subpallium (classic basal ganglia)"	<http://purl.obolibrary.org/obo/DMBA_15818>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"diagonal domain"	<http://purl.obolibrary.org/obo/DMBA_15819>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of Dg"	<http://purl.obolibrary.org/obo/DMBA_15820>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of Dg"	<http://purl.obolibrary.org/obo/DMBA_15821>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of Dg"	<http://purl.obolibrary.org/obo/DMBA_15822>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"bed nucleus of the stria terminalis, mediocentral division"	<http://purl.obolibrary.org/obo/DMBA_15823>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"posteromedial part of BSTMC"	<http://purl.obolibrary.org/obo/DMBA_15824>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"posterointermediate part of BSTMC"	<http://purl.obolibrary.org/obo/DMBA_15825>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"posterolateral part of BSTMC"	<http://purl.obolibrary.org/obo/DMBA_15826>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"extended amygdala, diagonal part"	<http://purl.obolibrary.org/obo/DMBA_15827>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of Dg"	<http://purl.obolibrary.org/obo/DMBA_15828>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"substantia innominata/basal nucleus"	<http://purl.obolibrary.org/obo/DMBA_15829>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"internal globus pallidus"	<http://purl.obolibrary.org/obo/DMBA_15830>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of Dg"	<http://purl.obolibrary.org/obo/DMBA_15831>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"horizontal nucleus of the diagonal band"	<http://purl.obolibrary.org/obo/DMBA_15832>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"magnocellular diagonal band nucleus"	<http://purl.obolibrary.org/obo/DMBA_15833>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"pallidum (globus pallidus complex)"	<http://purl.obolibrary.org/obo/DMBA_15834>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of Pal"	<http://purl.obolibrary.org/obo/DMBA_15835>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of Pal"	<http://purl.obolibrary.org/obo/DMBA_15836>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of Pal"	<http://purl.obolibrary.org/obo/DMBA_15837>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"bed nucleus of the stria terminalis, laterocentral division"	<http://purl.obolibrary.org/obo/DMBA_15838>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"posterior part of BSTLC"	<http://purl.obolibrary.org/obo/DMBA_15839>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"juxtacapsular part of BSTLC"	<http://purl.obolibrary.org/obo/DMBA_15840>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"dorsal part of BSTLC"	<http://purl.obolibrary.org/obo/DMBA_15841>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of Pal"	<http://purl.obolibrary.org/obo/DMBA_15842>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"external globus pallidum"	<http://purl.obolibrary.org/obo/DMBA_15843>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of Pal"	<http://purl.obolibrary.org/obo/DMBA_15845>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"pallidal part of olfactory tuberculum"	<http://purl.obolibrary.org/obo/DMBA_15846>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"plexiform layer of TuPal"	<http://purl.obolibrary.org/obo/DMBA_15847>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"corticoid layer of TuPal"	<http://purl.obolibrary.org/obo/DMBA_15848>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"polymorph layer of TuPal"	<http://purl.obolibrary.org/obo/DMBA_15849>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"pallidal islands of Calleja"	<http://purl.obolibrary.org/obo/DMBA_15850>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"striatum (corpus striatum)"	<http://purl.obolibrary.org/obo/DMBA_15851>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventricular zone of Str"	<http://purl.obolibrary.org/obo/DMBA_15852>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"mantle zone of Str"	<http://purl.obolibrary.org/obo/DMBA_15853>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"periventricular stratum of Str"	<http://purl.obolibrary.org/obo/DMBA_15854>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"caudate nucleus"	<http://purl.obolibrary.org/obo/DMBA_15855>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"intermediate stratum of Str"	<http://purl.obolibrary.org/obo/DMBA_15856>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"putamen"	<http://purl.obolibrary.org/obo/DMBA_15857>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"ventral striatum"	<http://purl.obolibrary.org/obo/DMBA_15858>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"interstitial nucleus of the posterior limb of the anterior commissure"	<http://purl.obolibrary.org/obo/DMBA_15859>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"laterostriatal stripe"	<http://purl.obolibrary.org/obo/DMBA_15860>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"superficial stratum of Str"	<http://purl.obolibrary.org/obo/DMBA_15861>
"regional part of brain"	<http://purl.obolibrary.org/obo/UBERON_0002616>	"striatal part of olfactory tuberculum"	<http://purl.obolibrary.org/obo/DMBA_15862>
