term,label
http://purl.obolibrary.org/obo/DMBA_16449,posterior triangular nucleus
http://purl.obolibrary.org/obo/DHBA_11631,MZ in midcingulate cortex
http://purl.obolibrary.org/obo/DHBA_12652,nucleus Y
http://purl.obolibrary.org/obo/MBA_480149238,"Laterolateral anterior visual area, layer 2/3"
http://purl.obolibrary.org/obo/HBA_265504444,"prosubiculum, right"
http://purl.obolibrary.org/obo/HBA_265505246,"orbito-polar tract, right"
http://purl.obolibrary.org/obo/MBA_548,"Midbrain reticular nucleus, magnocellular part, general"
http://purl.obolibrary.org/obo/DMBA_111220888,mantle zone of r9B
http://purl.obolibrary.org/obo/DMBA_17285,nucleus raphe interpositus
http://purl.obolibrary.org/obo/DHBA_266441251,molecular layer of uncal dentate gyrus
http://purl.obolibrary.org/obo/DMBA_126651786,"ventricles, prepontine hindbrain"
http://purl.obolibrary.org/obo/DMBA_15763,vertical nucleus of the diagonal band
http://purl.obolibrary.org/obo/DMBA_16132,"Field CA1, stratum oriens"
http://purl.obolibrary.org/obo/HBA_4235,"cingulate gyrus, retrosplenial part"
http://purl.obolibrary.org/obo/HBA_4467,"medial nucleus of the pulvinar, right"
http://purl.obolibrary.org/obo/DHBA_12693,floor plate of intermediate zone of hindbrain
http://purl.obolibrary.org/obo/HBA_4890,"frontal pole, left, superior aspect"
http://purl.obolibrary.org/obo/MBA_589,Taenia tecta
http://purl.obolibrary.org/obo/MBA_1068,dorsal thalamus related
http://purl.obolibrary.org/obo/HBA_12923,lateral group of nuclei
http://purl.obolibrary.org/obo/DMBA_16801,m2 part of paranigral nucleus
http://purl.obolibrary.org/obo/HBA_9037,"medial oculomotor nucleus, left"
http://purl.obolibrary.org/obo/DHBA_12435,superior salivatory nucleus
http://purl.obolibrary.org/obo/DMBA_16754,m2 alar plate
http://purl.obolibrary.org/obo/DHBA_10787,layer II of area M1hf
http://purl.obolibrary.org/obo/HBA_4632,"anterior hypothalamic nucleus, right"
http://purl.obolibrary.org/obo/DMBA_15881,periventricular stratum of APal
http://purl.obolibrary.org/obo/DHBA_12819,locus coeruleus
http://purl.obolibrary.org/obo/DMBA_17562,r10 basal plate
http://purl.obolibrary.org/obo/DHBA_12388,"paravermis, posterior lobe portion, inferior part"
http://purl.obolibrary.org/obo/DHBA_10264,medial division of PPHC (area TH)
http://purl.obolibrary.org/obo/HBA_4585,"paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, lateral zone"
http://purl.obolibrary.org/obo/DHBA_13183,VZ in rostral midinferior temporal cortex (area 36)
http://purl.obolibrary.org/obo/DMBA_111220626,intermediate stratum of r1Ve
http://purl.obolibrary.org/obo/MBA_1,"Tuberomammillary nucleus, ventral part"
http://purl.obolibrary.org/obo/DMBA_16795,basal m2 periaqueductal gray
http://purl.obolibrary.org/obo/HBA_9252,"body of the fornix, left"
http://purl.obolibrary.org/obo/MBA_823,"Dentate gyrus medial blade, granule cell layer"
http://purl.obolibrary.org/obo/DHBA_12008,VZ in lateral temporal-occipital cortex
http://purl.obolibrary.org/obo/DHBA_266441579,forceps inferior
http://purl.obolibrary.org/obo/DHBA_11255,layer III of dysgranular insular cortex
http://purl.obolibrary.org/obo/DHBA_266441327,stratum radiatum of uncal CA2
http://purl.obolibrary.org/obo/DHBA_10382,amygdalocortical (corticoamygdaloid) transition area
http://purl.obolibrary.org/obo/DMBA_17617,r11 part of vagal motor nucleus (postmigratory)
http://purl.obolibrary.org/obo/HBA_4158,"fusiform gyrus, left, bank of the its"
http://purl.obolibrary.org/obo/MBA_371,"Entorhinal area, medial part, ventral zone, layer 3"
http://purl.obolibrary.org/obo/DMBA_15606,medial part of MPO
http://purl.obolibrary.org/obo/DMBA_16537,superficial stratum of PcPL
http://purl.obolibrary.org/obo/DMBA_17068,mantle zone of r2BI
http://purl.obolibrary.org/obo/HBA_9293,"middle cerebellar peduncle, Left"
http://purl.obolibrary.org/obo/MBA_636,"Mediodorsal nucleus of the thalamus, medial part"
http://purl.obolibrary.org/obo/DMBA_17373,liminal part of the r7 alar plate
http://purl.obolibrary.org/obo/DHBA_11296,stratum lacunosum-moleculare of rostral CA3
http://purl.obolibrary.org/obo/DHBA_12126,"paracentral lobule, rostral part"
http://purl.obolibrary.org/obo/DMBA_15851,striatum (corpus striatum)
http://purl.obolibrary.org/obo/HBA_4323,"claustrum, right"
http://purl.obolibrary.org/obo/DHBA_13056,"zona incerta, ventral division"
http://purl.obolibrary.org/obo/DMBA_16919,r1 alar plate
http://purl.obolibrary.org/obo/DHBA_11038,layer VI of area 20r
http://purl.obolibrary.org/obo/MBA_677,Visceral area
http://purl.obolibrary.org/obo/HBA_9125,"deep gray layer of the superior colliculus, right"
http://purl.obolibrary.org/obo/DMBA_112892419,ventricular zone of r10F
http://purl.obolibrary.org/obo/DHBA_12748,"reticulocerebellar tract, medullary division"
http://purl.obolibrary.org/obo/HBA_12964,"pyramidal tract, Right"
http://purl.obolibrary.org/obo/DHBA_12515,interstitial nucleus of medial longitudinal fasciculus
http://purl.obolibrary.org/obo/DHBA_12476,raphe interpositus nucleus
http://purl.obolibrary.org/obo/HBA_4673,"medial mammillary nucleus, left, lateral part"
http://purl.obolibrary.org/obo/DHBA_12243,pedunculo(pontine) tegmental  nucleus
http://purl.obolibrary.org/obo/DHBA_13271,Purkinje cell layer of CBLF
http://purl.obolibrary.org/obo/MBA_51,Intralaminar nuclei of the dorsal thalamus
http://purl.obolibrary.org/obo/DMBA_16228,upper dorsal lateral hypothalamic area
http://purl.obolibrary.org/obo/HBA_4440,"dorsal lateral geniculate nucleus, left"
http://purl.obolibrary.org/obo/MBA_442,"Retrosplenial area, dorsal part, layer 1"
http://purl.obolibrary.org/obo/HBA_265505646,"spinal lemniscus in hindbrain, right"
http://purl.obolibrary.org/obo/DHBA_12789,spinothalamic tract
http://purl.obolibrary.org/obo/HBA_9340,accessory nerve
http://purl.obolibrary.org/obo/HBA_12925,"lateral group of nuclei, ventral division"
http://purl.obolibrary.org/obo/MBA_911,trochlear nerve
http://purl.obolibrary.org/obo/MBA_143,"Nucleus ambiguus, ventral division"
http://purl.obolibrary.org/obo/DHBA_10337,tail of caudate
http://purl.obolibrary.org/obo/DHBA_10470,medial preoptic nucleus
http://purl.obolibrary.org/obo/DHBA_12865,root of trigeminal nerve
http://purl.obolibrary.org/obo/HBA_10146,"olfactory tubercle, right"
http://purl.obolibrary.org/obo/DMBA_17156,rhombomere 4
http://purl.obolibrary.org/obo/HBA_9381,parahippocampal sulcus
http://purl.obolibrary.org/obo/DMBA_16578,commissural pretectal domain
http://purl.obolibrary.org/obo/HBA_9625,"parvicellular reticular nucleus, left"
http://purl.obolibrary.org/obo/DMBA_17180,r4 part of ventral parvicellular reticular formation
http://purl.obolibrary.org/obo/DHBA_12214,"periaqueductal gray substance, ventrolateral division"
http://purl.obolibrary.org/obo/DMBA_16615,mantle zone of p1Lim
