o,s,olabel,slabel,user_olabel,user_slabel
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_1083,http://purl.obolibrary.org/obo/MBA_802
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_359,http://purl.obolibrary.org/obo/MBA_505
UBERON:0011173,UBERON:0002616,anterior division of bed nuclei of stria terminalis,regional part of brain,http://purl.obolibrary.org/obo/MBA_359,http://purl.obolibrary.org/obo/MBA_505
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_126651786,http://purl.obolibrary.org/obo/DMBA_126651790
UBERON:0002616,UBERON:0002884,regional part of brain,intercalated amygdaloid nuclei,http://purl.obolibrary.org/obo/DMBA_15873,http://purl.obolibrary.org/obo/DMBA_15876
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_112892287,http://purl.obolibrary.org/obo/DMBA_112892293
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15655,http://purl.obolibrary.org/obo/DMBA_15659
UBERON:0002616,UBERON:0005373,regional part of brain,spinal cord dorsal column,http://purl.obolibrary.org/obo/MBA_932,http://purl.obolibrary.org/obo/MBA_514
UBERON:0002707,UBERON:0002616,corticospinal tract,regional part of brain,http://purl.obolibrary.org/obo/MBA_784,http://purl.obolibrary.org/obo/MBA_190
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_784,http://purl.obolibrary.org/obo/MBA_190
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220934,http://purl.obolibrary.org/obo/DMBA_17616
UBERON:0002616,UBERON:0001903,regional part of brain,thalamic reticular nucleus,http://purl.obolibrary.org/obo/MBA_856,http://purl.obolibrary.org/obo/MBA_262
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_323,http://purl.obolibrary.org/obo/MBA_616
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_46,http://purl.obolibrary.org/obo/MBA_753
UBERON:0002616,UBERON:0014553,regional part of brain,CA3 stratum oriens,http://purl.obolibrary.org/obo/DMBA_16141,http://purl.obolibrary.org/obo/DMBA_16142
UBERON:0003883,UBERON:0014553,CA3 field of hippocampus,CA3 stratum oriens,http://purl.obolibrary.org/obo/DMBA_16141,http://purl.obolibrary.org/obo/DMBA_16142
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_369,http://purl.obolibrary.org/obo/MBA_577
UBERON:0002616,UBERON:0005383,regional part of brain,caudate-putamen,http://purl.obolibrary.org/obo/MBA_485,http://purl.obolibrary.org/obo/MBA_672
UBERON:0005382,UBERON:0005383,dorsal striatum,caudate-putamen,http://purl.obolibrary.org/obo/MBA_485,http://purl.obolibrary.org/obo/MBA_672
