ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/MBA_888	"perirhinal area, layer 2/3"	http://purl.obolibrary.org/obo/UBERON_0006083		perirhinal cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_889	"primary somatosensory area, nose, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_891	"parabrachial nucleus, lateral division, ventral lateral part"	http://purl.obolibrary.org/obo/UBERON_0003007		lateral parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_893	"supplemental somatosensory area, layer 6b"	http://purl.obolibrary.org/obo/UBERON_0008934		secondary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_894	"retrosplenial area, lateral agranular part"	http://purl.obolibrary.org/obo/UBERON_0013531		retrosplenial region 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_895	ectorhinal area	http://purl.obolibrary.org/obo/UBERON_0002728		entorhinal cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_898	pontine central gray		http://purl.obolibrary.org/obo/UBERON_0002968	central gray substance of pons 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_899	"parabrachial nucleus, medial division, external medial part"	http://purl.obolibrary.org/obo/UBERON_0002918		medial parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_9	"primary somatosensory area, trunk, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_900	"anterior commissure, olfactory limb"		http://purl.obolibrary.org/obo/UBERON_0003039	anterior commissure anterior part 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_902	"posterolateral visual area, layer 5"	http://purl.obolibrary.org/obo/UBERON_0035897		posterolateral visual area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_903	external cuneate nucleus		http://purl.obolibrary.org/obo/UBERON_0002864	accessory cuneate nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_904	medial septal complex		http://purl.obolibrary.org/obo/UBERON_0007629	medial septal complex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_905	"anterolateral visual area, layer 2/3"	http://purl.obolibrary.org/obo/UBERON_0035894		anterolateral visual area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_906	"retrosplenial area, lateral agranular part, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0013531		retrosplenial region 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_908	"anterior commissure, temporal limb"	http://purl.obolibrary.org/obo/UBERON_0000935		anterior commissure 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_910	"orbital area, medial part, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0004167		orbitofrontal cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_913	"visual areas, layer 4"	http://purl.obolibrary.org/obo/UBERON_0000411		visual cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_915	"parabrachial nucleus, medial division, medial medial part"	http://purl.obolibrary.org/obo/UBERON_0002918		medial parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_916	brachium of the superior colliculus		http://purl.obolibrary.org/obo/UBERON_0002580	brachium of superior colliculus 	Verified	https://ror.org/03cpe7c52
