ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/DMBA_15815	"accumbens nucleus, shell domain"		http://purl.obolibrary.org/obo/UBERON_0012171	shell of nucleus accumbens 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15817	septostriatal part of the olfactory tuberculum	http://purl.obolibrary.org/obo/UBERON_0001883		olfactory tubercle 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15818	central subpallium (classic basal ganglia)	http://purl.obolibrary.org/obo/UBERON_0002420		basal ganglion 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15823	"bed nucleus of the stria terminalis, mediocentral division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15829	substantia innominata/basal nucleus	http://purl.obolibrary.org/obo/UBERON_0003017		substantia innominata 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15830	internal globus pallidus		http://purl.obolibrary.org/obo/UBERON_0002477	medial globus pallidus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15830	internal globus pallidus		http://purl.obolibrary.org/obo/UBERON_0002477	medial globus pallidus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15832	horizontal nucleus of the diagonal band	http://purl.obolibrary.org/obo/UBERON_0001879		nucleus of diagonal band 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15833	magnocellular diagonal band nucleus	http://purl.obolibrary.org/obo/UBERON_0001879		nucleus of diagonal band 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15834	pallidum (globus pallidus complex)		http://purl.obolibrary.org/obo/UBERON_0006514	pallidum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15838	"bed nucleus of the stria terminalis, laterocentral division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15843	external globus pallidum	http://purl.obolibrary.org/obo/UBERON_0006514		pallidum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15844	ventral pallidum		http://purl.obolibrary.org/obo/UBERON_0002778	ventral pallidum	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15846	pallidal part of olfactory tuberculum	http://purl.obolibrary.org/obo/UBERON_0001883		olfactory tubercle 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15850	pallidal islands of Calleja	http://purl.obolibrary.org/obo/UBERON_0001881		island of Calleja 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15851	striatum (corpus striatum)		http://purl.obolibrary.org/obo/UBERON_0002435	striatum	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15851	striatum (corpus striatum)		http://purl.obolibrary.org/obo/UBERON_0002435	striatum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15851	striatum (corpus striatum)		http://purl.obolibrary.org/obo/UBERON_0002435	striatum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15855	caudate nucleus		http://purl.obolibrary.org/obo/UBERON_0001873	caudate nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15855	caudate nucleus		http://purl.obolibrary.org/obo/UBERON_0001873	caudate nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15857	putamen		http://purl.obolibrary.org/obo/UBERON_0001874	putamen	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15857	putamen 		http://purl.obolibrary.org/obo/UBERON_0001874	putamen 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15858	ventral striatum		http://purl.obolibrary.org/obo/UBERON_0005403	ventral striatum	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15858	ventral striatum		http://purl.obolibrary.org/obo/UBERON_0005403	ventral striatum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15858	ventral striatum 		http://purl.obolibrary.org/obo/UBERON_0005403	ventral striatum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15862	striatal part of olfactory tuberculum	http://purl.obolibrary.org/obo/UBERON_0001883		olfactory tubercle 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15866	striatal islands of Calleja	http://purl.obolibrary.org/obo/UBERON_0001881		island of Calleja 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15874	"central amygdalar nucleus, lateral part"	http://purl.obolibrary.org/obo/UBERON_0002883		central amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15875	"central amygdalar nucleus, capsular part"	http://purl.obolibrary.org/obo/UBERON_0002883		central amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15876	intercalated amygdaloid nuclei		http://purl.obolibrary.org/obo/UBERON_0002884	intercalated amygdaloid nuclei	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15876	intercalated amygdaloid nuclei		http://purl.obolibrary.org/obo/UBERON_0002884	intercalated amygdaloid nuclei 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15882	"bed nucleus of stria terminalis, lateral amygdaloid division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15884	"central amygdaloid nucleus, medial part"	http://purl.obolibrary.org/obo/UBERON_0002883		central amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
