?supname	?sup	?subname	?sub	?inferred
"ansiform lobule crus I"	<http://purl.obolibrary.org/obo/UBERON_0005976>	"Crus 1"	<http://purl.obolibrary.org/obo/MBA_1056>	"true"
"ansiform lobule crus II"	<http://purl.obolibrary.org/obo/UBERON_0005977>	"crus II"	<http://purl.obolibrary.org/obo/HBA_12939>	"true"
"ansiform lobule crus II"	<http://purl.obolibrary.org/obo/UBERON_0005977>	"Crus 2"	<http://purl.obolibrary.org/obo/MBA_1064>	"true"
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/DHBA_266441733>	"true"
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/HBA_9413>	"true"
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/MBA_43>	"true"
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/DHBA_10362>	
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/HBA_265504476>	
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"basolateral amygdaloid nucleus, anterior part"	<http://purl.obolibrary.org/obo/DMBA_15994>	"true"
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"Anterior amygdalar area"	<http://purl.obolibrary.org/obo/MBA_23>	"true"
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/PBA_10103>	"true"
"anterior column of fornix"	<http://purl.obolibrary.org/obo/UBERON_0002940>	"anterior column of the fornix, left"	<http://purl.obolibrary.org/obo/HBA_9251>	"true"
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/DHBA_10559>	"true"
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/DMBA_17751>	"true"
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/HBA_9221>	"true"
"anterior commissure anterior part"	<http://purl.obolibrary.org/obo/UBERON_0003039>	"anterior commissure, olfactory limb"	<http://purl.obolibrary.org/obo/MBA_900>	"true"
"anterior corona radiata"	<http://purl.obolibrary.org/obo/UBERON_0022425>	"anterior portion of corona radiata"	<http://purl.obolibrary.org/obo/DHBA_15541>	"true"
"anterior cortical amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0034991>	"anterior cortical amygdaloid area"	<http://purl.obolibrary.org/obo/DMBA_16000>	"true"
"anterior division of bed nuclei of stria terminalis"	<http://purl.obolibrary.org/obo/UBERON_0011173>	"Bed nuclei of the stria terminalis, anterior division"	<http://purl.obolibrary.org/obo/MBA_359>	"true"
"anterior horn of lateral ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002651>	"anterior horn of lateral ventricle"	<http://purl.obolibrary.org/obo/DHBA_10597>	"true"
"anterior hypothalamic commissure"	<http://purl.obolibrary.org/obo/UBERON_0002694>	"anterior hypothalamic area, left, central part"	<http://purl.obolibrary.org/obo/HBA_4600>	"true"
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic area"	<http://purl.obolibrary.org/obo/DHBA_266441551>	"true"
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic area"	<http://purl.obolibrary.org/obo/HBA_12902>	"true"
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/HBA_4570>	"true"
"anterior limb of internal capsule"	<http://purl.obolibrary.org/obo/UBERON_0014526>	"anterior limb of internal capsule"	<http://purl.obolibrary.org/obo/DHBA_10582>	"true"
"anterior lobe of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0002131>	"anterior lobe"	<http://purl.obolibrary.org/obo/DHBA_12838>	"true"
"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002701>	"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/DHBA_12199>	"true"
"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002701>	"anterior median oculomotor nucleus, left"	<http://purl.obolibrary.org/obo/HBA_9032>	"true"
"anterior nuclear group"	<http://purl.obolibrary.org/obo/UBERON_0002788>	"anterior nuclear complex of thalamus"	<http://purl.obolibrary.org/obo/DHBA_10392>	"true"
"anterior nuclear group"	<http://purl.obolibrary.org/obo/UBERON_0002788>	"Anterior group of the dorsal thalamus"	<http://purl.obolibrary.org/obo/MBA_239>	"true"
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/DHBA_10475>	"true"
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/DMBA_15662>	"true"
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/HBA_12903>	"true"
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"Anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/MBA_88>	"true"
"anterior nucleus of hypothalamus anterior part"	<http://purl.obolibrary.org/obo/UBERON_0014589>	"Anterior hypothalamic nucleus, anterior part"	<http://purl.obolibrary.org/obo/MBA_700>	"true"
"anterior nucleus of hypothalamus central part"	<http://purl.obolibrary.org/obo/UBERON_0014590>	"Anterior hypothalamic nucleus, central part"	<http://purl.obolibrary.org/obo/MBA_708>	"true"
